city,title,competition,city_restaurant_no,competition_rate,chain
Phoenix,Irma’s Kitchen,25.0,240,0.10416666666666667,0
Phoenix,Loco Style Grindz,4.0,240,0.016666666666666666,0
Phoenix,Flaming Pig,5.0,240,0.020833333333333332,0
Phoenix,George’s Kitchen,3.0,240,0.0125,0
Phoenix,Morning Squeeze,28.0,240,0.11666666666666667,1
Phoenix,Hamburguesas Y Cervezas,24.0,240,0.1,0
Phoenix,Monroe’s Hot Chicken,5.0,240,0.020833333333333332,1
Phoenix,Ingo’s Tasty Food,25.0,240,0.10416666666666667,1
Phoenix,Berdena’s,34.0,240,0.14166666666666666,0
Phoenix,Pizzeria Bianco,21.0,240,0.0875,1
Phoenix,The Vig Fillmore,49.0,240,0.20416666666666666,0
Phoenix,Freshly Laid - Arcadia,19.0,240,0.07916666666666666,0
Phoenix,Sushi Vibe,12.0,240,0.05,0
Phoenix,Yama Sushi House - Phoenix,18.0,240,0.075,0
Phoenix,Scott’s Generations Restaurant & Delicatessen,27.0,240,0.1125,0
Phoenix,Matt’s Big Breakfast,34.0,240,0.14166666666666666,0
Phoenix,Chico Malo,18.0,240,0.075,0
Phoenix,Pappadeaux Seafood Kitchen,11.0,240,0.04583333333333333,1
Phoenix,Island Grill AZ,2.0,240,0.008333333333333333,0
Phoenix,Christopher’s At Wrigley Mansion,6.0,240,0.025,0
Phoenix,Southern Rail,12.0,240,0.05,0
Phoenix,Motomoto Sushi & Izakaya,25.0,240,0.10416666666666667,0
Phoenix,Feeney’s Restaurant and Bar,21.0,240,0.0875,0
Phoenix,The Sandwich Spot - Phoenix,22.0,240,0.09166666666666666,0
Phoenix,Cold Beers & Cheeseburgers 7th St,3.0,240,0.0125,0
Phoenix,Zookz Sandwiches,24.0,240,0.1,0
Phoenix,Fuku Sushi,18.0,240,0.075,0
Phoenix,The Vig North Central,30.0,240,0.125,0
Phoenix,Ms Martha’s Caribbean Restaurant,2.0,240,0.008333333333333333,0
Phoenix,Disco Dragon,19.0,240,0.07916666666666666,0
Phoenix,Sushiholic,25.0,240,0.10416666666666667,0
Phoenix,Corner On The Market,15.0,240,0.0625,0
Phoenix,Maria’s Frybread & Mexican Food,18.0,240,0.075,0
Phoenix,Original Breakfast House,24.0,240,0.1,0
Phoenix,Little Anita’s New Mexican Food,3.0,240,0.0125,0
Phoenix,TEXAZ Grill,13.0,240,0.05416666666666667,0
Phoenix,Wildflower,28.0,240,0.11666666666666667,1
Phoenix,"Snooze, an A.M. Eatery",45.0,240,0.1875,1
Phoenix,Huss Brewing - Downtown PHX Brewpub + TO GO,17.0,240,0.07083333333333333,0
Phoenix,Hopdoddy Burger Bar,15.0,240,0.0625,1
Phoenix,Prado,13.0,240,0.05416666666666667,1
Phoenix,Cabana Club,32.0,240,0.13333333333333333,0
Phoenix,Breakfast Bitch,19.0,240,0.07916666666666666,0
Phoenix,Breakfast Club- Biltmore,33.0,240,0.1375,0
Phoenix,Taco Boy’s,18.0,240,0.075,0
Phoenix,Rito’s Mexican Food,7.0,240,0.029166666666666667,0
Phoenix,Across The Pond,10.0,240,0.041666666666666664,1
Phoenix,Rite Yah Suh Jamaican Vibez,12.0,240,0.05,0
Phoenix,Elements,50.0,240,0.20833333333333334,1
Phoenix,Angels Trumpet Ale House,31.0,240,0.12916666666666668,0
Phoenix,Little O’s 7th Ave,30.0,240,0.125,0
Phoenix,Beckett’s Table,28.0,240,0.11666666666666667,0
Phoenix,Adela’s Italian,25.0,240,0.10416666666666667,0
Phoenix,Kaizen PHX,18.0,240,0.075,0
Phoenix,Angie’s Lobster,7.0,240,0.029166666666666667,1
Phoenix,Bluewater Grill - Phoenix,32.0,240,0.13333333333333333,0
Phoenix,Spinato’s Pizzeria and Family Kitchen,21.0,240,0.0875,1
Phoenix,Takamatsu,4.0,240,0.016666666666666666,0
Phoenix,Blue Hound,36.0,240,0.15,0
Phoenix,Zen Thai,9.0,240,0.0375,0
Phoenix,The Main Ingredient Ale House And Café,43.0,240,0.17916666666666667,0
Phoenix,Sushi Friend,12.0,240,0.05,0
Phoenix,Tacos Chiwas,18.0,240,0.075,0
Phoenix,Scramble A Breakfast & Lunch Joint,33.0,240,0.1375,0
Phoenix,Italian Spoon,21.0,240,0.0875,0
Phoenix,Dilla Libre Uno,24.0,240,0.1,0
Phoenix,Ghost Donkey,36.0,240,0.15,1
Phoenix,Topaz Bar & Lounge,20.0,240,0.08333333333333333,0
Phoenix,Breakfast Club - Phoenix,29.0,240,0.12083333333333333,0
Phoenix,Barrio Café,23.0,240,0.09583333333333334,0
Phoenix,Artichoke Basille’s Pizza,22.0,240,0.09166666666666666,0
Scottsdale,Mochilero,18.0,240,0.075,0
Scottsdale,Sophia’s Kitchen,41.0,240,0.17083333333333334,0
Scottsdale,Buck & Rider   N. Scottsdale,26.0,240,0.10833333333333334,0
Scottsdale,Culinary Gangster,33.0,240,0.1375,0
Scottsdale,Thompson 105,31.0,240,0.12916666666666668,0
Scottsdale,The Spot Neighborhood Grill,14.0,240,0.058333333333333334,0
Scottsdale,The Italian Daughter,26.0,240,0.10833333333333334,0
Scottsdale,sneakybird,4.0,240,0.016666666666666666,0
Scottsdale,Cook & Craft - Scottsdale,47.0,240,0.19583333333333333,0
Scottsdale,Arboleda,6.0,240,0.025,0
Scottsdale,The Thumb BBQ,12.0,240,0.05,0
Scottsdale,Grassroots Kitchen & Tap,38.0,240,0.15833333333333333,1
Scottsdale,De Babel,8.0,240,0.03333333333333333,0
Scottsdale,Vic & Ola’s,26.0,240,0.10833333333333334,0
Scottsdale,Hush Public House,10.0,240,0.041666666666666664,0
Scottsdale,Soul Cafe,56.0,240,0.23333333333333334,0
Scottsdale,Hash Kitchen North Scottsdale,46.0,240,0.19166666666666668,0
Scottsdale,Course Restaurant,41.0,240,0.17083333333333334,0
Scottsdale,Freshly Laid,20.0,240,0.08333333333333333,0
Scottsdale,etta - Scottsdale Quarter,53.0,240,0.22083333333333333,0
Scottsdale,Federal American Grill,46.0,240,0.19166666666666668,1
Scottsdale,Desert Pony Tavern,8.0,240,0.03333333333333333,0
Scottsdale,The Sicilian Butcher,27.0,240,0.1125,0
Scottsdale,Pescada,13.0,240,0.05416666666666667,0
Scottsdale,The Preserve Tavern and Grille,29.0,240,0.12083333333333333,0
Scottsdale,Fire At Will,35.0,240,0.14583333333333334,1
Scottsdale,The Living Room Wine Cafe & Lounge,40.0,240,0.16666666666666666,0
Scottsdale,Pocha 54 Korean Tapas,5.0,240,0.020833333333333332,0
Scottsdale,Raven Gastropub,14.0,240,0.058333333333333334,0
Scottsdale,Two Hands Fresh Corn Dogs - Phoenix,3.0,240,0.0125,0
Scottsdale,J’s Handmade Dim Sum,3.0,240,0.0125,0
Scottsdale,Sugo Bistro Italian and Wood-Fired Pizza,49.0,240,0.20416666666666666,0
Scottsdale,Chula Seafood Grayhawk,17.0,240,0.07083333333333333,0
Scottsdale,The Vig McDowell Mountain,38.0,240,0.15833333333333333,0
Scottsdale,Ling’s Wok Shop,6.0,240,0.025,0
Scottsdale,Kuko’s Nest,8.0,240,0.03333333333333333,0
Scottsdale,Copperhead Bistro,15.0,240,0.0625,0
Scottsdale,Caliente Mexican Grill,18.0,240,0.075,0
Scottsdale,Kodo Sushi Sake,12.0,240,0.05,0
