city,title,rank,point,tag,link,review
Phoenix,Krazy Cajun Seafood & Hibachi,86,4.2,"['Seafood', 'Cajun/Creole', 'Salad']",/biz/krazy-cajun-seafood-and-hibachi-phoenix,(139 reviews)
Phoenix,Steak 44,87,4.5,"['Steakhouses', 'Seafood', 'Bars']",/biz/steak-44-phoenix,(2k reviews)
Phoenix,Luci’s at the Orchard,88,4.0,"['Breakfast & Brunch', 'Coffee & Tea', 'Sandwiches']",/biz/lucis-at-the-orchard-phoenix-2,(766 reviews)
Phoenix,Nishikawa Ramen,89,3.9,"['Ramen', 'Asian Fusion', 'Tapas Bars']",/biz/nishikawa-ramen-phoenix-2,(845 reviews)
Phoenix,Cherryblossom Noodle Cafe,90,4.0,"['Sushi Bars', 'Noodles', 'Ramen']",/biz/cherryblossom-noodle-cafe-phoenix,(1.4k reviews)
Phoenix,Pedal Haus Brewery,91,4.4,"['Breweries', 'Pizza']",/biz/pedal-haus-brewery-phoenix-2,(203 reviews)
Phoenix,Vovomeena,92,4.4,"['Coffee & Tea', 'Breakfast & Brunch']",/biz/vovomeena-phoenix,(1.3k reviews)
Phoenix,Anhelo Restaurant,93,4.6,"['American (New)', 'Wine Bars']",/biz/anhelo-restaurant-phoenix,(198 reviews)
Phoenix,L’Amore Italian Restaurant,94,4.4,['Italian'],/biz/l-amore-italian-restaurant-phoenix,(471 reviews)
Phoenix,Hatch-it Green Chile Burgers & Tacos,95,4.4,"['New Mexican Cuisine', 'Burgers', 'Tacos']",/biz/hatch-it-green-chile-burgers-and-tacos-phoenix,(328 reviews)
Phoenix,Presidio Cocina Mexicana,96,4.6,"['Mexican', 'Breakfast & Brunch']",/biz/presidio-cocina-mexicana-phoenix,(1k reviews)
Phoenix,Sushi Vibe,97,4.4,['Sushi Bars'],/biz/sushi-vibe-phoenix,(275 reviews)
Phoenix,Chick-A-Dee,98,4.8,"['Asian Fusion', 'Thai', 'Chicken Shop']",/biz/chick-a-dee-phoenix,(46 reviews)
Phoenix,The larder + the delta,99,4.0,"['American (New)', 'Southern', 'Vegetarian']",/biz/the-larder-the-delta-phoenix-3,(234 reviews)
Phoenix,Komodo Asian Fusion,100,4.3,['Asian Fusion'],/biz/komodo-asian-fusion-phoenix,(68 reviews)
Phoenix,The Other Bar,101,4.2,"['Lounges', 'American (New)']",/biz/the-other-bar-phoenix,(52 reviews)
Phoenix,Fly Bye,102,4.0,"['Pizza', 'Chicken Shop', 'Salad']",/biz/fly-bye-phoenix-7,(103 reviews)
Phoenix,Ingo’s Tasty Food,103,4.5,"['American (Traditional)', 'Salad', 'Breakfast & Brunch']",/biz/ingo-s-tasty-food-phoenix,(179 reviews)
Phoenix,FLINT by Baltaire,104,4.1,"['American (New)', 'Mediterranean', 'Bars']",/biz/flint-by-baltaire-phoenix,(355 reviews)
Phoenix,George Yang’s Chinese Cuisine,105,4.2,['Chinese'],/biz/george-yangs-chinese-cuisine-phoenix,(400 reviews)
Phoenix,North Mountain Brewing Company,106,4.0,"['Breweries', 'American (Traditional)']",/biz/north-mountain-brewing-company-phoenix,(630 reviews)
Phoenix,Palma,107,4.1,"['Sushi Bars', 'Cocktail Bars']",/biz/palma-phoenix-4,(356 reviews)
Phoenix,Forno 301 Phoenix,108,4.3,"['Pizza', 'Italian', 'Bars']",/biz/forno-301-phoenix-phoenix,(804 reviews)
Phoenix,Gus’s World Famous Fried Chicken - Van Buren,109,4.5,"['Chicken Shop', 'Southern', 'Soul Food']",/biz/guss-world-famous-fried-chicken-van-buren-phoenix,(218 reviews)
Phoenix,Centrico,110,4.6,"['Mexican', 'Bars', 'Breakfast & Brunch']",/biz/centrico-phoenix,(485 reviews)
Phoenix,Coyote Mexican Cuisine,111,4.0,['Mexican'],/biz/coyote-mexican-cuisine-phoenix,(116 reviews)
Phoenix,Tutti Santi,112,4.4,['Italian'],/biz/tutti-santi-phoenix-2,(496 reviews)
Phoenix,Sushiholic,113,4.4,"['Sushi Bars', 'Japanese', 'Tapas/Small Plates']",/biz/sushiholic-phoenix,(1.2k reviews)
Phoenix,Fire At Will,114,4.3,"['American (New)', 'Burgers']",/biz/fire-at-will-scottsdale,(119 reviews)
Phoenix,Joyride Taco House,115,4.0,"['Tacos', 'Cocktail Bars']",/biz/joyride-taco-house-phoenix-3,(1.7k reviews)
Phoenix,Frank’s New York Style Deli,116,4.8,"['Delis', 'Sandwiches']",/biz/franks-new-york-style-deli-phoenix,(418 reviews)
Phoenix,Postino Central,117,4.5,"['Wine Bars', 'Italian', 'Breakfast & Brunch']",/biz/postino-central-phoenix,(1.5k reviews)
Phoenix,Federal Pizza,118,4.4,"['Pizza', 'Italian', 'Bars']",/biz/federal-pizza-phoenix-2,(1.5k reviews)
Phoenix,The Beach House,119,4.3,['Mexican'],/biz/the-beach-house-phoenix,(924 reviews)
Phoenix,Blanco Cocina + Cantina,120,4.4,"['Tacos', 'Cocktail Bars', 'New Mexican Cuisine']",/biz/blanco-cocina-cantina-phoenix-2,(406 reviews)
Phoenix,The Cracked Egg,121,4.0,"['Breakfast & Brunch', 'American (New)']",/biz/the-cracked-egg-phoenix,(488 reviews)
Phoenix,Different Pointe of View,122,4.2,"['American (New)', 'Lounges']",/biz/different-pointe-of-view-phoenix,(870 reviews)
Phoenix,Sottise,123,4.3,"['French', 'Beer, Wine & Spirits']",/biz/sottise-phoenix,(99 reviews)
Phoenix,Pinay Good-Eats,124,4.8,"['Filipino', 'Desserts', 'Bakeries']",/biz/pinay-good-eats-phoenix,(12 reviews)
Phoenix,King Salmon,125,4.7,['Sushi Bars'],/biz/king-salmon-phoenix,(87 reviews)
Phoenix,Pa’La Downtown,126,4.5,"['Mediterranean', 'Tapas/Small Plates', 'Japanese']",/biz/pa-la-downtown-phoenix-3,(161 reviews)
Phoenix,Pizzeria Bianco,127,4.0,"['Pizza', 'Salad', 'Tapas/Small Plates']",/biz/pizzeria-bianco-phoenix,(3.3k reviews)
