city,title,rank,point,tag,link,review
Schaumburg,Rosemary And Jeans,184,4.3,['Italian'],/biz/rosemary-and-jeans-lombard-4,(177 reviews)
Schaumburg,La Hacienda de Roselle,185,4.3,"['Mexican', 'Seafood', 'Steakhouses']",/biz/la-hacienda-de-roselle-roselle,(489 reviews)
Schaumburg,Kusina De Manila,186,4.4,['Filipino'],/biz/kusina-de-manila-des-plaines,(242 reviews)
Schaumburg,GroundLevel 105,187,4.2,"['Wine Bars', 'American (New)', 'Beer Bar']",/biz/groundlevel-105-lombard-2,(165 reviews)
Schaumburg,Thlaco Taco Tijuanense,188,4.5,['Tacos'],/biz/thlaco-taco-tijuanense-hanover-park,(47 reviews)
Schaumburg,The Capital Grille,189,4.1,"['Steakhouses', 'Seafood', 'Wine Bars']",/biz/the-capital-grille-schaumburg-2,(143 reviews)
Schaumburg,Georgio’s Chicago Pizzeria & Pub,190,4.2,"['Pizza', 'Pubs']",/biz/georgios-chicago-pizzeria-and-pub-south-barrington,(403 reviews)
Skokie,Une Année Brewery,31,4.3,"['Breweries', 'Barbeque']",/biz/une-ann%C3%A9e-brewery-niles,(169 reviews)
Skokie,FRY,32,4.5,"['Chicken Shop', 'Fast Food', 'Sandwiches']",/biz/fry-niles,(8 reviews)
Skokie,Riobamba,33,4.5,"['Tacos', 'Latin American']",/biz/riobamba-glenview-2,(315 reviews)
Skokie,Renga Tei,34,4.1,"['Sushi Bars', 'Japanese']",/biz/renga-tei-lincolnwood,(476 reviews)
Skokie,The Boiler Shrimp & Crawfish,35,4.2,"['Southern', 'Cajun/Creole', 'Seafood']",/biz/the-boiler-shrimp-and-crawfish-skokie,(671 reviews)
Skokie,Boba Burger,36,4.7,"['Burgers', 'Asian Fusion', 'Bubble Tea']",/biz/boba-burger-morton-grove-2,(762 reviews)
Skokie,Roka Akor - Old Orchard,37,4.1,"['Sushi Bars', 'Steakhouses', 'Japanese']",/biz/roka-akor-old-orchard-skokie-2,(505 reviews)
Skokie,Sarahs Brick Oven,38,4.3,"['Kosher', 'Pizza', 'Breakfast & Brunch']",/biz/sarahs-brick-oven-skokie,(25 reviews)
Skokie,Pasta D’Arte Trattoria Italiana,39,4.4,['Italian'],/biz/pasta-d-arte-trattoria-italiana-chicago-2,(598 reviews)
Skokie,Crunch,40,3.8,"['Kosher', 'Chicken Shop', 'Burgers']",/biz/crunch-skokie,(4 reviews)
Skokie,Stefani Prime,51,4.0,"['Italian', 'Steakhouses', 'Seafood']",/biz/stefani-prime-lincolnwood-2,(296 reviews)
Skokie,Mughal The Biryani House,52,4.9,"['Indian', 'Halal']",/biz/mughal-the-biryani-house-park-ridge-8,(17 reviews)
Skokie,Kaufman’s,53,3.9,"['Delis', 'Bakeries', 'Sandwiches']",/biz/kaufmans-skokie,(654 reviews)
Skokie,Shang Noodle & Chinese,54,4.1,"['Chinese', 'Noodles', 'Bubble Tea']",/biz/shang-noodle-and-chinese-evanston,(243 reviews)
Skokie,Carlos & Carlos - Wilmette,55,4.7,"['Italian', 'Wine Bars']",/biz/carlos-and-carlos-wilmette-wilmette,(71 reviews)
Skokie,Melty’s,56,3.9,"['Pizza', 'Burgers', 'Sandwiches']",/biz/melty-s-morton-grove,(76 reviews)
Skokie,Fiesta En Tuxpan Mexican Grill,57,4.0,['Mexican'],/biz/fiesta-en-tuxpan-mexican-grill-skokie,(94 reviews)
Skokie,Shinsen Evanston,58,4.7,"['Sushi Bars', 'Thai', 'Japanese']",/biz/shinsen-evanston-evanston,(202 reviews)
Skokie,Jarasa Kabob,59,4.6,"['Middle Eastern', 'Mediterranean']",/biz/jarasa-kabob-skokie,(218 reviews)
Skokie,Soul & Smoke,60,3.9,"['Barbeque', 'Caterers', 'Soul Food']",/biz/soul-and-smoke-evanston,(128 reviews)
Skokie,The Warbler,101,4.4,"['Pasta Shops', 'Chicken Wings', 'Sandwiches']",/biz/the-warbler-chicago-2,(455 reviews)
Skokie,Tsaocaa Niles,102,4.5,"['Bubble Tea', 'Chicken Wings', 'Waffles']",/biz/tsaocaa-niles-niles,(23 reviews)
Skokie,Oakton Mediterranean Grill,103,4.4,['Mediterranean'],/biz/oakton-mediterranean-grill-skokie,(7 reviews)
Skokie,LeTour,104,3.8,['French'],/biz/letour-evanston-3,(56 reviews)
Skokie,Will’s Place,105,5.0,"['Sandwiches', 'Cafes']",/biz/will-s-place-skokie,(7 reviews)
Skokie,Table To Stix Ramen,106,4.0,['Ramen'],/biz/table-to-stix-ramen-evanston,(319 reviews)
Skokie,Hwang Soh Grill,107,4.5,"['Korean', 'Barbeque']",/biz/hwang-soh-grill-morton-grove-2,(72 reviews)
Skokie,Stacked & Folded,108,4.3,"['American (New)', 'Sandwiches', 'Tacos']",/biz/stacked-and-folded-winnetka,(186 reviews)
Skokie,De-Jred,109,4.2,['Caribbean'],/biz/de-jred-skokie-2,(155 reviews)
Skokie,Koya in Wilmette,110,4.7,"['Japanese', 'Asian Fusion']",/biz/koya-in-wilmette-wilmette-3,(23 reviews)
Skokie,Zentli,141,4.5,['Mexican'],/biz/zentli-evanston,(46 reviews)
Skokie,3M Restaurant American Buffet,142,4.9,"['Modern European', 'American (Traditional)', 'Breakfast & Brunch']",/biz/3m-restaurant-american-buffet-chicago,(12 reviews)
Skokie,New York Bagel & Bialy,143,4.3,"['Bakeries', 'Bagels', 'Breakfast & Brunch']",/biz/new-york-bagel-and-bialy-lincolnwood,(657 reviews)
Skokie,Tang & Sushi Korean,144,4.0,['Korean'],/biz/tang-and-sushi-korean-niles,(69 reviews)
Skokie,Pescadero Seafood & Oyster Bar,145,3.7,"['Seafood', 'Bars']",/biz/pescadero-seafood-and-oyster-bar-wilmette,(182 reviews)
Skokie,Fork,146,3.8,"['American (New)', 'Breakfast & Brunch', 'Wine Bars']",/biz/fork-chicago-2,(1.1k reviews)
Skokie,Jameson’s Charhouse,147,3.2,"['American (Traditional)', 'Steakhouses', 'Burgers']",/biz/jamesons-charhouse-skokie,(242 reviews)
Skokie,Macs & Stacks -Skokie,148,,"['Comfort Food', 'African', 'Sandwiches']",/biz/macs-and-stacks-skokie-skokie,
Skokie,Salud Kitchen,149,4.3,['Tacos'],/biz/salud-kitchen-evanston,(86 reviews)
Skokie,Sophia Steak,150,4.3,"['Salad', 'Seafood', 'Steakhouses']",/biz/sophia-steak-wilmette,(139 reviews)
Skokie,Savanna Restaurant,201,4.5,"['Breakfast & Brunch', 'Coffee & Tea', 'American (Traditional)']",/biz/savanna-restaurant-chicago-4,(52 reviews)
Skokie,Thalaivas Indian Kitchen,202,4.2,['Indian'],/biz/thalaivas-indian-kitchen-park-ridge-3,(283 reviews)
Skokie,Estacion,203,4.8,"['Soul Food', 'Caribbean']",/biz/estacion-evanston,(10 reviews)
Skokie,R Public House,204,4.1,"['Beer Bar', 'Pizza', 'American (Traditional)']",/biz/r-public-house-chicago,(308 reviews)
Skokie,Sun Wah Bar-B-Que,205,3.9,"['Chinese', 'Barbeque']",/biz/sun-wah-bar-b-que-chicago-2,(1.9k reviews)
Skokie,Rakkan Ramen,206,4.3,['Ramen'],/biz/rakkan-ramen-chicago,(63 reviews)
Skokie,Village Inn Pizzeria Sports Bar & Grill,207,3.4,"['Pizza', 'Sports Bars', 'American (Traditional)']",/biz/village-inn-pizzeria-sports-bar-and-grill-skokie,(363 reviews)
