city,title,rank,point,tag,link,review_n
Portland,Urban Farmer,27.0,3.8,"['Steakhouses', 'American (Traditional)']",/biz/urban-farmer-portland,1100.0
Portland,Meat Cheese Bread,73.0,4.1,"['Sandwiches', 'Breakfast & Brunch', 'Salad']",/biz/meat-cheese-bread-portland,426.0
Portland,Swine Moonshine & Whiskey Bar,82.0,4.0,"['Cocktail Bars', 'American (New)', 'Whiskey Bars']",/biz/swine-moonshine-and-whiskey-bar-portland-6,372.0
Portland,Master Kong,68.0,4.2,"['Noodles', 'Chinese']",/biz/master-kong-portland,452.0
Portland,Murata Restaurant,77.0,4.4,"['Japanese', 'Sushi Bars', 'Wine Bars']",/biz/murata-restaurant-portland,403.0
Portland,Portland Kettle,125.0,4.3,"['Soup', 'Salad', 'Comfort Food']",/biz/portland-kettle-portland,190.0
Portland,Hat Yai,111.0,4.2,['Thai'],/biz/hat-yai-portland-2,242.0
Portland,Beastro By Marshawn Lynch,144.0,3.7,"['Hawaiian', 'Korean', 'Breakfast & Brunch']",/biz/beastro-by-marshawn-lynch-portland,155.0
Portland,Wu-Rons,184.0,4.6,"['Ramen', 'Beer Bar']",/biz/wu-rons-portland-2,56.0
Portland,Fish-San,187.0,4.8,"['Sushi Bars', 'Japanese', 'Poke']",/biz/fish-san-portland,51.0
Portland,Pasture PDX,201.0,4.5,"['Butcher', 'Wine Bars', 'Sandwiches']",/biz/pasture-pdx-portland,33.0
Saint Paul,Sea Salt Eatery,6.0,4.0,"['Seafood', 'Tacos', 'Burgers']",/biz/sea-salt-eatery-minneapolis,808.0
Saint Paul,Hi-Lo Diner,12.0,4.0,"['Diners', 'Breakfast & Brunch', 'Ice Cream & Frozen Yogurt']",/biz/hi-lo-diner-minneapolis,604.0
Saint Paul,Chimborazo,7.0,4.6,['Latin American'],/biz/chimborazo-minneapolis,805.0
Saint Paul,Moscow On The Hill,14.0,4.3,"['Russian', 'Bars']",/biz/moscow-on-the-hill-saint-paul-2,566.0
Saint Paul,J. Selby’s,23.0,4.3,"['Vegan', 'American (Traditional)']",/biz/j-selbys-saint-paul-2,415.0
Saint Paul,Yarusso Bros Italian Restaurant,95.0,3.8,['Italian'],/biz/yarusso-bros-italian-restaurant-saint-paul,141.0
Saint Paul,Little Szechuan Hot Pot,55.0,3.6,"['Szechuan', 'Hot Pot']",/biz/little-szechuan-hot-pot-saint-paul-3,269.0
Saint Paul,New Fresh Wok,91.0,3.7,"['Szechuan', 'Sushi Bars', 'Japanese']",/biz/new-fresh-wok-falcon-heights,157.0
Saint Paul,Dark Horse Bar & Eatery,62.0,3.8,"['American (Traditional)', 'Wine Bars', 'Cocktail Bars']",/biz/dark-horse-bar-and-eatery-st-paul-2,248.0
Saint Paul,Taste of Scandinavia Bakery & Cafe,135.0,4.0,"['Bakeries', 'Cafes', 'Breakfast & Brunch']",/biz/taste-of-scandinavia-bakery-and-cafe-little-canada-2,79.0
Saint Paul,Oliver’s - Shoreview,108.0,4.5,"['Bars', 'American (Traditional)', 'Pizza']",/biz/oliver-s-shoreview-shoreview,115.0
