city,title,rank,point,link,review_n,rank_review
Daly City,Perilla,226,4.0,/biz/perilla-san-francisco-2,1600.0,28.0
Daly City,Mission Rock Resort,149,4.0,/biz/mission-rock-resort-san-francisco-2,1700.0,23.0
Daly City,Lavash,201,4.2,/biz/lavash-san-francisco-2,1600.0,26.0
Daly City,7 Mile House,29,4.2,/biz/7-mile-house-brisbane,1800.0,19.0
Daly City,Outerlands,198,3.8,/biz/outerlands-san-francisco,2400.0,9.0
Daly City,3rd Cousin,230,4.1,/biz/3rd-cousin-san-francisco-2,437.0,85.0
Daly City,Marcellas Lasagneria,167,4.6,/biz/marcellas-lasagneria-san-francisco-3,507.0,77.0
Daly City,LaLe,183,4.2,/biz/lale-san-francisco-2,620.0,64.0
Daly City,Bottega,39,4.3,/biz/bottega-san-francisco-2,866.0,50.0
Daly City,Saigon BBQ Noodle House,234,4.6,/biz/saigon-bbq-noodle-house-san-francisco-2,239.0,129.0
Daly City,Los Metates,191,3.9,/biz/los-metates-daly-city,351.0,103.0
Daly City,Redeye Grill,213,4.6,/biz/redeye-grill-pacifica-4,256.0,126.0
Daly City,Krispy Krunchy Chicken,237,3.6,/biz/krispy-krunchy-chicken-daly-city,154.0,155.0
Daly City,Mr. Digbys,184,4.3,/biz/mr-digby-s-san-francisco-2,154.0,154.0
Daly City,The Anecdote,205,4.7,/biz/the-anecdote-south-san-francisco-2,27.0,212.0
Detroit,Seva Detroit,224,3.7,/biz/seva-detroit-detroit,549.0,36.0
Detroit,Slows Bar BQ,134,3.9,/biz/slows-bar-bq-detroit,2300.0,1.0
Detroit,Sweetwater Tavern,168,3.4,/biz/sweetwater-tavern-detroit,650.0,25.0
Detroit,SheWolf Pastificio & Bar,14,4.2,/biz/shewolf-pastificio-and-bar-detroit,460.0,45.0
Detroit,Joe Muer Seafood,158,3.8,/biz/joe-muer-seafood-detroit,785.0,19.0
Detroit,M Cantina,233,3.8,/biz/m-cantina-dearborn,425.0,49.0
Detroit,The London Chop House,155,4.1,/biz/the-london-chop-house-detroit-2,367.0,55.0
Detroit,Cannelle Matt Knio,202,4.5,/biz/cannelle-matt-knio-detroit,234.0,78.0
Detroit,Olin Bar & Kitchen,28,4.4,/biz/olin-bar-and-kitchen-detroit,194.0,87.0
Detroit,Maine Street Restaurant,230,3.8,/biz/maine-street-restaurant-hamtramck,83.0,138.0
Detroit,Prism,170,3.9,/biz/prism-detroit,122.0,119.0
Detroit,The Potato Place,200,3.9,/biz/the-potato-place-detroit,135.0,111.0
Detroit,Ukrainian Restaurant,236,4.6,/biz/ukrainian-restaurant-windsor,46.0,170.0
Detroit,Metropolitan Bar And Kitchen,193,4.0,/biz/metropolitan-bar-and-kitchen-detroit,23.0,183.0
Detroit,BITE Bar & Grill,187,1.0,/biz/bite-bar-and-grill-detroit,2.0,227.0
Dublin,Gotta Eatta Pita,228,4.2,/biz/gotta-eatta-pita-pleasanton-3,983.0,37.0
Dublin,Kura Revolving Sushi Bar,156,3.2,/biz/kura-revolving-sushi-bar-pleasanton,905.0,43.0
Dublin,Denicas Real Food Kitchen,187,3.8,/biz/denicas-real-food-kitchen-castro-valley,1300.0,21.0
Dublin,88 Bao Bao,29,4.1,/biz/88-bao-bao-dublin-2,884.0,44.0
Dublin,Sauced BBQ & Spirits - Livermore,179,3.8,/biz/sauced-bbq-and-spirits-livermore-livermore-3,2500.0,5.0
Dublin,Tri Valley Bistro,227,4.2,/biz/tri-valley-bistro-pleasanton-2,465.0,91.0
Dublin,Hazy Barbecue,181,3.9,/biz/hazy-barbecue-danville-2,524.0,78.0
Dublin,The Sister House,209,4.0,/biz/the-sister-house-hayward,703.0,53.0
Dublin,Range Life,46,4.4,/biz/range-life-livermore,467.0,90.0
Dublin,Torarenbou Sushi Bistro,234,3.8,/biz/torarenbou-sushi-bistro-dublin-2,250.0,127.0
Dublin,Rahma Mediterranean Grill,175,4.5,/biz/rahma-mediterranean-grill-dublin-7,183.0,143.0
Dublin,11th Tiger,199,4.4,/biz/11th-tiger-danville,373.0,105.0
Dublin,DareDevil Dogs,236,4.7,/biz/daredevil-dogs-san-ramon,105.0,172.0
Dublin,Azul,185,3.8,/biz/azul-livermore,129.0,164.0
Dublin,Northern Curry,237,4.7,/biz/northern-curry-pleasanton-5,34.0,211.0
Durham,Uncle Julios,232,3.2,/biz/uncle-julios-durham-2,379.0,44.0
Durham,Burger Bach,135,4.0,/biz/burger-bach-durham,460.0,32.0
Durham,Firebirds Wood Fired Grill,200,3.7,/biz/firebirds-wood-fired-grill-durham,401.0,40.0
Durham,Juju Asian Tapas + Bar,23,4.3,/biz/juju-asian-tapas-bar-durham-3,630.0,17.0
Durham,Tobacco Road Sports Caf,190,3.4,/biz/tobacco-road-sports-caf%C3%A9-durham-2,579.0,21.0
Durham,Happy + Hale,231,4.0,/biz/happy-hale-durham,313.0,59.0
Durham,Twisted Noodles,193,3.8,/biz/twisted-noodles-durham,255.0,81.0
Durham,Teds Montana Grill - Renaissance Center,209,3.7,/biz/teds-montana-grill-renaissance-center-durham,346.0,51.0
Durham,"Press Coffee, Crepes & Cocktails",28,4.6,/biz/press-coffee-crepes-and-cocktails-durham-2,232.0,90.0
Durham,Boxcar Bar + Arcade,236,3.9,/biz/boxcar-bar-arcade-durham,128.0,137.0
Durham,Flying Biscuit Cafe - Brier Creek,172,4.2,/biz/flying-biscuit-cafe-brier-creek-raleigh,124.0,139.0
Durham,First Watch,202,3.5,/biz/first-watch-durham-5,151.0,120.0
Durham,The Crabby Patty,238,4.5,/biz/the-crabby-patty-durham-4,40.0,191.0
Durham,Lawrence Barbecue,167,4.3,/biz/lawrence-barbecue-durham,102.0,150.0
Durham,Hayti Collective Kitchen & Cocktails,180,3.0,/biz/hayti-collective-kitchen-and-cocktails-durham,6.0,228.0
Emeryville,Kirala Restaurant,239,3.9,/biz/kirala-restaurant-berkeley-2,1800.0,22.0
Emeryville,Angelines Louisiana Kitchen,158,4.1,/biz/angelines-louisiana-kitchen-berkeley,4800.0,2.0
Emeryville,Cafe M,185,4.0,/biz/cafe-m-berkeley,1900.0,19.0
Emeryville,Moo Bong Ri Korean Restaurant,36,4.5,/biz/moo-bong-ri-korean-restaurant-oakland,1000.0,43.0
Emeryville,Shandong Restaurant,175,4.2,/biz/shandong-restaurant-oakland,3600.0,6.0
Emeryville,Shawarmaji,231,4.3,/biz/shawarmaji-oakland,537.0,76.0
Emeryville,Touch of Soul,170,3.5,/biz/touch-of-soul-emeryville,639.0,72.0
Emeryville,Los Cantaros Taqueria,210,3.5,/biz/los-cantaros-taqueria-emeryville-2,644.0,71.0
Emeryville,Best Coast Burritos,46,3.9,/biz/best-coast-burritos-emeryville,535.0,77.0
Emeryville,Kowbird,227,4.1,/biz/kowbird-oakland,304.0,109.0
